variant,run_id,success,total_steps,total_reward,total_path_length,total_collisions,total_energy_consumed,wall_time_seconds
floor,18,True,54,-140.33,396.56,0,48.38,0.75
floor,19,True,114,-406.65,561.05,0,64.93,1.19
floor,20,True,54,-141.74,397.07,0,51.95,0.75
floor,21,True,77,-251.45,481.58,0,57.01,0.85
floor,22,True,51,-123.87,374.09,0,47.14,0.8
floor,23,True,76,-250.24,475.63,0,59.24,0.91
floor,24,True,75,-235.57,469.45,0,58.31,0.86
floor,25,True,51,-139.82,374.43,0,52.42,0.8
floor,26,True,52,-134.28,381.61,0,49.95,0.99
floor,27,True,51,-120.26,374.33,0,48.86,0.94
floor,28,True,49,-117.22,359.28,0,46.48,0.93
floor,29,True,149,-712.55,718.58,0,85.79,1.33
floor,30,True,52,-127.69,332.42,0,46.69,0.92
